,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp,RATING
4832,17048454,ROBBERY,ROBBERY,2300 HEARST AVE,Berkeley,CA,Thursday,37.874537,-122.263862,2017-08-17 21:30:00,3
4833,17055032,SEXUAL ASSAULT FEL.,SEX CRIME,2200 MILVIA ST,Berkeley,CA,Tuesday,37.868574,-122.270415,2017-09-12 14:30:00,5
4834,17048915,ASSAULT/BATTERY MISD.,ASSAULT,1100 SIXTH ST,Berkeley,CA,Saturday,37.882217,-122.302226,2017-08-19 18:00:00,4
4835,18004060,THEFT FELONY (OVER $950),LARCENY,2900 DERBY ST,Berkeley,CA,Saturday,37.862393,-122.248851,2018-01-20 16:30:00,3
4838,18005953,BRANDISHING,WEAPONS OFFENSE,SHATTUCK AVENUE & ALLSTON WAY,Berkeley,CA,Monday,37.86939,-122.267883,2018-01-29 23:53:00,5
4851,18006969,MISSING JUVENILE,MISSING PERSON,1200 CARRISON ST,Berkeley,CA,Friday,37.851521,-122.28549,2018-02-02 23:00:00,4
4856,17078326,THEFT FELONY (OVER $950),LARCENY,1400 UNIVERSITY AVE,Berkeley,CA,Thursday,37.870054,-122.284263,2017-12-21 07:30:00,3
4857,17069659,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1100 ADDISON ST,Berkeley,CA,Friday,37.868161,-122.291751,2017-08-25 00:00:00,4
4860,17052684,ASSAULT/BATTERY MISD.,ASSAULT,SHATTUCK AVENUE & ALLSTON WAY,Berkeley,CA,Sunday,37.86939,-122.267883,2017-09-03 17:05:00,4
4865,17062165,GUN/WEAPON,WEAPONS OFFENSE,TELEGRAPH AVENUE & BANCROFT WAY,Berkeley,CA,Saturday,37.868714,-122.259189,2017-10-14 01:36:00,5
4869,17056018,MISSING JUVENILE,MISSING PERSON,SIXTH STREET & DELAWARE ST,Berkeley,CA,Saturday,37.87057,-122.298525,2017-09-16 23:06:00,4
4870,17052978,DISTURBANCE,DISORDERLY CONDUCT,SHATTUCK AVENUE & CENTER ST,Berkeley,CA,Monday,37.870308,-122.26805,2017-09-04 22:00:00,3
4871,18090298,THEFT FELONY (OVER $950),LARCENY,2200 FULTON ST,Berkeley,CA,Saturday,37.868706,-122.266279,2017-11-18 16:00:00,3
4872,17050339,THEFT FELONY (OVER $950),LARCENY,3000 ADELINE ST,Berkeley,CA,Friday,37.85488,-122.269079,2017-08-25 13:39:00,3
4873,17050325,THEFT FELONY (OVER $950),LARCENY,3300 ADELINE ST,Berkeley,CA,Friday,37.84827,-122.271788,2017-08-25 11:30:00,3
4874,17062471,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,UNIVERSITY AVENUE & SHATTUCK AVE,Berkeley,CA,Sunday,37.872185,-122.268407,2017-10-15 12:00:00,1
4880,17063212,ASSAULT/BATTERY FEL.,ASSAULT,2100 EIGHTH ST,Berkeley,CA,Wednesday,37.866952,-122.29505,2017-10-18 15:28:00,5
4883,17062908,DISTURBANCE,DISORDERLY CONDUCT,1000 ADDISON ST,Berkeley,CA,Tuesday,37.867383,-122.293938,2017-10-17 10:00:00,3
4888,17092535,THEFT FELONY (OVER $950),LARCENY,2100 HASTE ST,Berkeley,CA,Tuesday,37.864908,-122.267289,2017-12-05 17:25:00,3
